open,high,low,close,volume,target
1851.6173735961895,1992.4243765115843,1855.5002622971392,1864.328699756319,823,1
1874.075364269781,1945.9753680430508,1806.4479055249128,1887.261839342291,425,0
1897.5081730703955,1922.1328133669904,1828.281854074288,1884.6965580582876,602,1
1866.4883114872316,1984.8459920679531,1824.4783331286155,1922.4927301214032,573,0
1847.6591879414,1956.403426498847,1877.9172038552283,1865.316118612128,893,0
1869.811169152837,1933.8389490721177,1859.3033692454055,1862.496323629861,208,1
1815.4750071067044,1962.5618484506724,1889.391070157884,1881.43980496691,158,1
1880.859684085193,1979.8404151281056,1861.6923648882328,1886.5595073850936,130,1
1864.4126884516168,1989.8318827990893,1885.9683973228948,1919.8510538548717,482,0
1869.251602886657,1965.8429204849533,1889.2673527479733,1919.6846480579768,789,1
1809.6944797285496,1964.286935486837,1874.316260277322,1945.2666979437383,790,0
1851.603301924423,1942.1545564058704,1894.3777310802373,1868.305340128311,676,1
1807.5496242183744,1991.1058494588624,1845.0127505217629,1899.651595275152,324,0
1828.8361695950337,1942.4105741000049,1862.624344391152,1882.591619558555,930,1
1867.745765386316,1955.8106877612568,1891.59847936081,1910.0764325387445,452,0
1872.313794009091,1941.1030229815435,1873.061266174172,1861.8905834587088,802,1
1867.7888339330395,1951.247597938334,1895.082082073235,1893.1582810256875,934,0
1842.7901563713776,1919.37631361684,1822.2721152320044,1869.1987313518057,805,1
1808.6328677322613,1984.283669629624,1803.053535982125,1893.107384210492,892,1
1826.3249599204985,1961.436655912684,1860.8388127937997,1934.0736060758577,724,0
1823.750838097464,1956.8298539083612,1807.4080799702856,1885.2071119192303,732,0
1825.5855631776649,1902.4833505942056,1810.101708784416,1875.467663959265,168,0
1806.449087209584,1966.4185829996256,1817.534566157148,1869.715703413254,508,0
1898.725835345302,1907.5512352224428,1822.3162822412248,1864.621570088195,861,1
1882.5568314722827,1995.043418985612,1814.841247379684,1918.1280304916163,726,0
1851.954209855694,1976.9503311765343,1885.4019870391444,1878.2684445567932,676,1
1862.396108603772,1903.9867265965447,1869.2215840048225,1941.3734763261905,287,0
1828.913957291293,1907.9817539960652,1867.8399436896443,1932.1174515347184,508,0
1853.109496803098,1967.4430458682536,1891.017492654537,1909.1753260275912,626,1
1883.2910249694,1929.0004549082037,1847.2651787474156,1934.8624648195685,180,0
1873.500273923524,1998.5405750798936,1835.308997849341,1890.7447811391337,128,0
1802.187986075791,1934.9184677504036,1899.3810176320549,1854.3551454082967,534,1
1814.9524556912056,1961.5157393943907,1808.8037730269043,1876.2743081439703,529,1
1816.015296684356,1956.9623043308231,1883.989278184108,1895.9200560028123,277,1
1855.199641688658,1908.4019905419857,1895.88952258035,1899.770632607876,737,1
1864.1015336868672,1907.5165374453836,1893.251488245962,1931.1295229571224,157,0
1889.2348343072072,1942.2602951291417,1842.4419534658068,1862.928280535408,601,1
1808.018866257908,1975.9532924272853,1856.968751641716,1905.7888415906816,680,1
1856.9581642259996,1998.3428180715248,1804.3634357527208,1944.9569927456128,119,0
1817.2364746828227,1949.3593015976144,1862.707458210636,1875.9655598951383,426,1
1817.0941732944525,1963.6212082877137,1850.7921858543,1916.332082065696,441,1
1841.3566077564517,1960.3228406827927,1817.3360976075885,1926.188852808362,569,0
1840.1547301004096,1903.5889593983825,1893.1243500327423,1871.40807193938,172,1
1844.761404104004,1958.685622032478,1810.5529762964368,1906.795375892269,684,0
1859.4920031127128,1923.5280028162467,1894.18923775345,1895.5959036287368,168,0
1849.45330230351,1991.77549047902,1865.0973889717864,1877.873615605775,978,0
1868.6031917470352,1997.832119419068,1838.243262100473,1875.8156005672388,286,1
