open,high,low,close,volume,target
1869.839066796103,1925.2506128655994,1812.3258256639238,1906.9724946167894,905,1
1880.5895522855005,1923.3721884121742,1821.3468011690304,1908.7108321093579,105,1
1889.6222426356755,1908.2901352821998,1886.5812922032853,1936.3083455146782,679,0
1821.275638577421,1944.712280532177,1876.23914183995,1893.4004169021116,654,0
1849.2323761254102,1953.451768311912,1866.5768151870736,1887.606104315384,129,1
1854.9152442611703,1970.7029529713427,1825.1853894482113,1911.0800851826853,874,0
1864.877385290439,1981.6469729899575,1848.372946557504,1894.6492476739036,248,1
1879.575179982572,1901.9767634665418,1801.0079687167633,1896.343454124945,804,1
1882.1165604989715,1975.9486071921112,1838.4228072926571,1898.2054936169566,475,0
1861.3834678753008,1914.1735914460603,1897.4710323214072,1876.8534091203562,217,1
1840.0023817487524,1932.793059466746,1875.0475790678024,1889.1954178178773,303,0
1833.9151852093823,1940.5083860731268,1853.2650914760516,1862.4783000415864,806,1
1899.1855571590017,1932.178263092619,1891.9034331701498,1873.6812274796112,107,0
1863.9980063823812,1965.57591200244,1848.6004700834667,1865.5682828113756,550,1
1855.939607713222,1957.6969531676693,1886.1576743727853,1910.7373285062104,351,1
1853.8108669425508,1939.2160282476748,1875.8586490762318,1933.0905304522169,800,0
1842.7725645264081,1965.1777280272622,1811.807941441534,1859.80963523796,932,1
1892.0273711732254,1988.7347892309015,1884.2653406815473,1894.79660690009,296,0
1876.6720128886104,1953.8714687206912,1828.3692292274839,1872.2146562272414,156,1
1887.053687167346,1944.8770005996812,1841.2524682172889,1872.41907258127,448,1
1848.4466973542117,1907.5624994989666,1892.5627040504762,1912.9852738693075,419,0
1833.1831183797285,1921.132804111341,1870.8734718985818,1907.7693638725964,769,1
1863.0549495804487,1958.479530440782,1857.2683659282623,1913.414493566072,854,0
1805.2089674798635,1989.3344364384172,1837.2077445481661,1892.8578120242648,261,1
1895.5260302150625,1912.7672313113478,1851.8568607742436,1922.052568624686,910,0
1865.7692757773152,1991.6566327812168,1879.9683572225808,1853.5238423856792,515,1
1807.5721663920103,1901.7107387290528,1875.5124444812368,1948.9066896999775,515,0
1843.7106677683385,1901.1593316708727,1892.3717083739396,1870.9738481104362,245,1
1871.8144247799592,1969.5650263366779,1857.5528493425875,1914.613409939165,941,1
1898.0568986057365,1904.3468907254517,1866.901393337435,1932.5205795960999,826,0
1843.1448364731361,1937.8578412890954,1812.096135835113,1856.5774389763103,603,1
1885.3444890160872,1986.202057514644,1846.7633696254347,1856.9985781256496,454,1
1898.4438690854556,1957.7908156718847,1813.279279899623,1882.0616223562272,598,1
1845.4024117471745,1915.0946082704743,1810.256239813478,1946.7912778708583,361,0
1813.0728364784547,1978.1833452214482,1894.6637362352765,1891.9508503005022,254,1
1898.2350938511809,1999.9939195810102,1822.2119192871119,1893.4280486894224,370,1
1807.692866521013,1983.4708916779803,1815.3483126134538,1937.278513132444,484,0
1885.1203488674514,1964.013521789752,1852.355509249718,1861.501219868194,881,1
1854.3802347177218,1975.722514558474,1854.2415955612505,1904.4490078127367,732,0
1814.780205677884,1903.1262299672633,1856.0587848854625,1890.3597299447833,247,1
1816.4641669772932,1976.6903867526182,1884.8034863617295,1908.9406271619173,757,1
1827.2307273749545,1900.8771668712986,1827.7845393962164,1920.256394456789,376,1
1836.740934042435,1932.4063029447068,1824.3975117814427,1943.565154839405,807,0
1891.9264781540114,1939.2711672952853,1800.6966951189113,1898.5807902216934,465,1
1808.5282371810442,1912.3552744231013,1894.86024460124,1898.9419942481197,645,0
1813.1179920807792,1911.6326938596278,1887.7423573381077,1854.7614591969002,445,1
1886.65135561414,1955.076315077058,1865.5805690140314,1911.1127943458093,168,1
