open,high,low,close,volume
2400.3037704174844,2400.4696181725403,2399.9917499035737,2400.3656883528697,425643
2400.3656883528697,2400.834650421057,2398.126771254988,2399.117841733624,344521
2399.117841733624,2400.2657146621978,2398.953052283068,2400.0182210723524,252738
2400.0182210723524,2401.297454641797,2399.4871801353497,2401.1471727432904,245935
2401.1471727432904,2402.696203527816,2398.7420698272003,2398.8059535656266,214821
2398.8059535656266,2400.060065677607,2396.1303810318477,2397.2446239268115,244653
2397.2446239268115,2397.555903360598,2396.6581594211166,2397.3978611838443,261806
2397.3978611838443,2397.751890073747,2396.2849473848355,2397.018811495298,39957
2397.018811495298,2397.120157620829,2396.7404165667926,2396.99867523458,73847
2396.99867523458,2397.475896672602,2395.4474323496624,2395.97652065361,58167
2395.97652065361,2397.817970028043,2395.8567484490804,2397.0302607509007,492448
2397.0302607509007,2398.7903679539286,2396.795468037408,2397.962637440813,850942
2397.962637440813,2398.6308264888435,2397.700494497889,2398.041808320571,18600
2398.041808320571,2399.6405042133365,2397.470646568148,2399.3937750541195,778258
2399.3937750541195,2400.1577303970475,2399.051478680383,2399.9547101149506,177499
2399.9547101149506,2400.5276828206725,2398.807403037988,2398.92380009728,448076
2398.92380009728,2399.5966811446083,2398.515473376284,2399.3661433907555,270078
2399.3661433907555,2400.135576793205,2397.462538730921,2398.2160638866344,687209
2398.2160638866344,2399.817135051195,2398.0933884648525,2399.2696520628697,200735
2399.2696520628697,2399.538773292435,2399.12513920216,2399.2097599488743,41628
2399.2097599488743,2399.6373119336777,2398.8245940530715,2398.9880084039783,146433
2398.9880084039783,2399.210186693263,2398.1665526354395,2398.171376523264,272571
2398.171376523264,2400.402797681769,2397.7711049358127,2399.637756477645,131142
2399.637756477645,2399.8001710148,2398.9766713383337,2399.4523562503564,314183
2399.4523562503564,2400.68912814271,2398.684382691618,2398.938535172218,152405
2398.938535172218,2398.992415161207,2398.385882393316,2398.5161989810977,89723
2398.5161989810977,2399.240668359179,2397.7115747112875,2399.1546600442093,54941
2399.1546600442093,2399.964678792885,2398.8331251448185,2399.5930785123483,109994
2399.5930785123483,2400.9677063977883,2399.3524876020538,2400.088324770692,199700
2400.088324770692,2401.154008081913,2399.9369392592685,2400.605384688454,22939
2400.605384688454,2404.028595053476,2399.98350534928,2403.177386904656,74602
2403.177386904656,2403.758686780245,2402.433282294992,2402.6890928303105,22099
2402.6890928303105,2402.715411754162,2401.031588421237,2402.073791620556,87809
2402.073791620556,2402.680834337224,2400.648859551148,2401.0966193616414,538915
2401.0966193616414,2402.621004067624,2400.2328229303034,2401.836246309111,49706
2401.836246309111,2403.69366994494,2401.097758865173,2403.1924323340786,328785
2403.1924323340786,2403.4759515626324,2402.796818672395,2403.055517400433,2810365
2403.055517400433,2404.058820499517,2401.454309329832,2402.046258070493,696301
2402.046258070493,2402.723276932168,2400.999833455974,2401.056241137604,186002
2401.056241137604,2401.840436628242,2400.3737633702617,2401.8374231253806,384014
2401.8374231253806,2403.2045670312827,2400.951338132173,2402.7301768424823,41370
2402.7301768424823,2403.574389904421,2402.473247205072,2403.382792031721,33744
2403.382792031721,2404.377125892101,2401.405721107324,2402.5831877859823,167493
2402.5831877859823,2403.727188307894,2402.438250810699,2402.8620974195032,242464
2402.8620974195032,2403.508089466006,2402.2604270380293,2403.002291463173,486214
2403.002291463173,2403.628624393145,2402.5786385101646,2403.265060428584,92155
2403.265060428584,2404.96091792025,2402.1287622748905,2404.312425755433,197480
2404.312425755433,2404.5824491852927,2404.0074624836616,2404.5812375595647,190824
2404.5812375595647,2405.962951570496,2404.292831560941,2405.3976275241243,142715
2405.3976275241243,2405.626612179948,2405.36155324316,2405.478906164009,151376
2405.478906164009,2405.889755414308,2405.3976301524785,2405.8266666069326,69237
2405.8266666069326,2407.176310428412,2405.190381551844,2406.586171491268,215282
2406.586171491268,2407.1795139729893,2404.824652953624,2404.8334245522656,197807
2404.8334245522656,2404.847008862245,2404.0117860200166,2404.449077256294,104818
2404.449077256294,2404.457742635248,2403.8739559294468,2403.8836502019662,316720
2403.8836502019662,2404.0312518729074,2402.6666127819863,2403.115878829591,454899
2403.115878829591,2403.279951309856,2402.260202583513,2402.785302212581,320416
2402.785302212581,2404.642034943683,2402.118125194649,2404.581985117956,57386
2404.581985117956,2404.603187285542,2403.29947034188,2403.5412294623925,179808
2403.5412294623925,2405.3867223518428,2403.317860226813,2404.705159665192,65419
2404.705159665192,2405.4157125929078,2401.9731971132373,2402.6826078959084,179253
2402.6826078959084,2403.112828919917,2401.30621156211,2402.2803303574337,65674
2402.2803303574337,2402.5595771993653,2402.1191455328744,2402.475827555272,583712
2402.475827555272,2403.33475612632,2402.0057149609192,2403.1801232590287,356229
2403.1801232590287,2404.2372271743698,2402.790763296275,2404.034878020943,515549
2404.034878020943,2406.2438227781718,2403.587036735048,2404.98868439525,465898
2404.98868439525,2405.385414043288,2404.1294606285687,2404.5693810253506,124169
2404.5693810253506,2404.89626507973,2403.939607902169,2404.013566791301,106339
2404.013566791301,2405.7937313030047,2402.566726066979,2405.0450808582905,928869
2405.0450808582905,2405.2331240487333,2404.5204804813507,2404.8150440974705,137982
2404.8150440974705,2404.85175916535,2403.179244135636,2403.281638354686,41999
2403.281638354686,2404.6296902289337,2401.667448477197,2401.920219934437,445729
2401.920219934437,2402.0959392679456,2399.7067547982447,2400.816248197709,187920
2400.816248197709,2402.025282521293,2400.261655775404,2401.413118175861,733765
2401.413118175861,2401.5988569430133,2400.4664230643493,2401.5841357806,207517
2401.5841357806,2402.6452327084203,2400.6187797722914,2402.4134082586465,159531
2402.4134082586465,2402.4463671549106,2401.180662101351,2401.9002443301238,748720
2401.9002443301238,2402.414836040128,2401.7500456110315,2402.09065013811,34945
2402.09065013811,2403.210025407475,2402.018139674404,2402.842130079723,90638
2402.842130079723,2403.2674332384595,2401.799910292414,2402.4705033716064,67012
2402.4705033716064,2403.326357093221,2402.365040217105,2403.019260551345,18122
2403.019260551345,2403.0739690592627,2401.240642627992,2402.22408175325,389717
